"building_id","building_name","street_address","max_capacity","building_type"
174,"Multicultural Center","8 Community Street",120,"Recreational"
175,"Biotechnology Lab","120 Science Drive",90,"Research"
176,"Faculty Club and Lounge","15 Faculty Row",40,"Dining"
177,"Library Annex Storage","80 Library Road",20,"Library"
178,"Dormitory Hall F","90 Residence Way",680,"Residential"
179,"Media Production Studio","20 Media Hub",70,"Media"
180,"Student Counseling Center","8 Health Services Loop",55,"Medical"
181,"Central Utility Plant","6 Power Lane",45,"Maintenance"
182,"Environmental Science Building","130 Science Drive",290,"Academic"
183,"Astronomy Observatory","150 Hilltop View",30,"Research"
184,"Graduate Student Housing","100 Residence Way",400,"Residential"
185,"University Welcome Center","1 Visitor Lane",110,"Administrative"
186,"Lecture Hall Alpha","55 Academic Way",900,"Academic"
187,"Lecture Hall Beta","60 Academic Way",850,"Academic"
188,"ROTC Headquarters","2 Military Road",70,"Administrative"
189,"South Campus Library","80 Library Road South",450,"Library"
190,"Alumni House","5 Development Way",65,"Event"
191,"Aquatics Center","70 Sports Complex",350,"Athletic"
192,"Student Activities Office","12 Campus Center",50,"Administrative"
193,"Digital Media Lab","30 Media Hub",80,"Academic"
194,"Catering Services Depot","5 Food Prep Lane",20,"Dining"
195,"Chemistry Stockroom","140 Science Drive",15,"Maintenance"
196,"Residence Hall G","110 Residence Way",720,"Residential"
197,"East Parking Garage","40 Parking Blvd",180,"Parking"
198,"Center for Global Studies","10 International Place",130,"Academic"
199,"Recreation Pavilion","80 Sports Complex",150,"Recreational"
200,"Medical Research Tower","10 Research Park",480,"Research"
201,"Biochemistry Lab","160 Science Drive",130,"Research"
202,"Neuroscience Center","20 Research Park",350,"Research"
203,"Materials Science Lab","170 Science Drive",110,"Research"
204,"Civil Engineering Lab","180 Tech Way",90,"Academic"
205,"Electrical Engineering Lab","190 Tech Way",85,"Academic"
206,"Mechanical Engineering Lab","200 Tech Way",95,"Academic"
207,"Theater Costume Shop","80 Arts Way",25,"Academic"
208,"Dance Studio Complex","90 Arts Way",170,"Athletic"
209,"International Student Services","15 Global Avenue",40,"Administrative"
210,"Disability Resources Office","25 Main Street",30,"Administrative"
211,"Veterinary Teaching Hospital","50 Animal Care Rd",600,"Medical"
212,"Agricultural Science Center","10 Farm View Lane",220,"Academic"
213,"Law Clinic Center","95 Justice Avenue",100,"Academic"
214,"Dormitory Hall H","120 Residence Way",500,"Residential"
215,"Dormitory Hall I","130 Residence Way",450,"Residential"
216,"South Gate Security Kiosk","1 Security Circle South",10,"Administrative"
217,"Faculty Parking Office","50 Parking Blvd",15,"Administrative"
218,"North Campus Bookstore","15 Retail Row",60,"Retail"
219,"Central Receiving Dock","2 Facilities Yard West",20,"Maintenance"
220,"University Gallery","100 Arts Way",200,"Event"
221,"Data Science Institute","210 Technology Way",240,"Academic"
222,"Cyber Security Center","220 Technology Way",180,"Academic"
223,"Southwest Library","150 Library Road Southwest",650,"Library"
224,"Student Media Center","40 Media Hub",90,"Media"
225,"The Alumni Ballroom","10 Development Way",500,"Event"
226,"School of Nursing Annex","10 Nursing Drive",160,"Medical"
227,"Faculty Office Tower","20 Faculty Row",100,"Administrative"
228,"Small Lecture Hall I","70 Academic Way",250,"Academic"
229,"Small Lecture Hall II","75 Academic Way",250,"Academic"
230,"Student Organization Hub","14 Campus Center",70,"Administrative"
231,"Res Hall J","140 Residence Way",520,"Residential"
232,"Res Hall K","150 Residence Way",580,"Residential"
233,"Veterinary Lab A","55 Animal Care Rd",80,"Research"
234,"Testing Services Center","85 Main Street",120,"Administrative"
235,"Central Storehouse","10 Facilities Yard",50,"Maintenance"
236,"Baseball Stadium","90 Sports Complex",5000,"Athletic"
237,"Softball Field House","95 Sports Complex",150,"Athletic"
238,"Energy Research Facility","230 Science Drive",145,"Research"
239,"Student Recreation Center","100 Sports Complex",1000,"Recreational"
240,"Post Office and Mail Center","90 Main Street",20,"Administrative"
241,"Innovation Lab","240 Technology Way",150,"Academic"
242,"Business Incubation Center","250 Technology Way",120,"Administrative"
243,"Library Storage Annex II","100 Library Road North",30,"Library"
244,"Student Government Office","16 Campus Center",40,"Administrative"
245,"Multipurpose Event Hall","120 Arts Way",700,"Event"
246,"Emergency Medical Services","10 Health Services Loop",25,"Medical"
247,"Faculty Office Building A","30 Faculty Row",150,"Administrative"
248,"Small Lecture Hall III","80 Academic Way",300,"Academic"
249,"Small Lecture Hall IV","85 Academic Way",280,"Academic"
250,"Campus Ministry Center","2 Faith Lane",60,"Recreational"
251,"Residence Hall L","160 Residence Way",620,"Residential"
252,"Residence Hall M","170 Residence Way",590,"Residential"
253,"Chemistry Prep Room","180 Science Drive",18,"Maintenance"
254,"Admissions Welcome Center","10 Visitor Lane",105,"Administrative"
255,"Landscaping Services","15 Facilities Yard",30,"Maintenance"
256,"Basketball Arena","110 Sports Complex",8000,"Athletic"
257,"Tennis Courts Facility","120 Sports Complex",10,"Athletic"
258,"Atmospheric Research Center","260 Science Drive",160,"Research"
259,"Student Recreation Field House","130 Sports Complex",350,"Recreational"
260,"Central Food Storage","10 Food Prep Lane",22,"Dining"
261,"Bioinformatics Center","270 Science Drive",190,"Research"
262,"Materials Testing Lab","280 Science Drive",80,"Research"
263,"Hydraulics Laboratory","210 Technology Way",75,"Academic"
264,"Geoscience Institute","290 Science Drive",210,"Academic"
265,"School of Public Health","1 Health Avenue",310,"Academic"
266,"Center for the Arts","130 Arts Way",420,"Academic"
267,"Art History Lecture Hall","140 Arts Way",150,"Academic"
268,"University Museum","150 Arts Way",300,"Event"
269,"Dormitory Hall N","180 Residence Way",640,"Residential"
270,"Dormitory Hall O","190 Residence Way",710,"Residential"
271,"Faculty Office Building B","40 Faculty Row",160,"Administrative"
272,"IT Help Desk Center","30 Campus Center East",35,"Administrative"
273,"Southwest Parking Garage","50 Parking Blvd West",220,"Parking"
274,"Soccer Field House","140 Sports Complex",100,"Athletic"
275,"Track and Field Storage","150 Sports Complex",12,"Maintenance"
276,"Central Kitchen","20 Food Prep Lane",40,"Dining"
277,"North Campus Police Post","3 Security Circle North",15,"Administrative"
278,"Student Veteran Center","15 Service Road",45,"Administrative"
279,"Outdoor Amphitheater Office","160 Arts Way",10,"Event"
280,"Institute for Policy Studies","15 Policy Avenue",180,"Research"
281,"South Campus Bookstore","20 Retail Row",75,"Retail"
282,"Philosophy Hall","170 Humanities Loop",230,"Academic"
283,"Linguistics Center","180 Humanities Loop",110,"Academic"
284,"Sociology Annex","190 Humanities Loop",190,"Academic"
285,"Anthropology Museum","200 Humanities Loop",140,"Research"
286,"Geology Field Office","30 Field Road",20,"Maintenance"
287,"Faculty Commons North","50 Faculty Row",50,"Dining"
288,"Faculty Commons South","55 Faculty Row",50,"Dining"
289,"Maintenance Shop East","20 Facilities Yard East",25,"Maintenance"
290,"Maintenance Shop West","25 Facilities Yard West",25,"Maintenance"
291,"Dormitory Hall P","200 Residence Way",610,"Residential"
292,"Dormitory Hall Q","210 Residence Way",570,"Residential"
293,"Tennis Courts Storage","160 Sports Complex",10,"Maintenance"
294,"Golf Course Club House","170 Sports Complex",80,"Athletic"
295,"Indoor Climbing Gym","180 Sports Complex",150,"Recreational"
296,"Community Outreach Center","20 Community Street",65,"Administrative"
297,"Grant Administration Office","95 Main Street",40,"Administrative"
298,"University Research Park Lab","30 Research Park",320,"Research"
299,"Applied Science Building","300 Science Drive",410,"Academic"
300,"Central Library","100 Library Road Central",1500,"Library"
301,"Advanced Computing Lab","280 Tech Way",120,"Academic"
302,"Robotics Research Center","290 Tech Way",90,"Research"
303,"Artificial Intelligence Institute","300 Tech Way",150,"Academic"
304,"Psychology Building","210 Social Sciences Ave",330,"Academic"
305,"Sociology Building","220 Social Sciences Ave",310,"Academic"
306,"Anthropology Building","230 Social Sciences Ave",290,"Academic"
307,"Speech and Hearing Clinic","15 Health Services Loop",60,"Medical"
308,"Pediatric Health Center","20 Health Services Loop",70,"Medical"
309,"Rehabilitation Science Building","25 Health Services Loop",190,"Academic"
310,"Student Organization Center II","18 Campus Center",55,"Administrative"
311,"Residence Hall R","220 Residence Way",540,"Residential"
312,"Residence Hall S","230 Residence Way",630,"Residential"
313,"South Gate Maintenance Post","30 Facilities Yard South",15,"Maintenance"
314,"Outdoor Tennis Courts","190 Sports Complex",10,"Athletic"
315,"Indoor Track Facility","200 Sports Complex",200,"Athletic"
316,"South Campus Dining Hall","50 Campus Center",460,"Dining"
317,"Faculty Office Building C","60 Faculty Row",180,"Administrative"
318,"Technology Licensing Office","1 Technology Transfer",35,"Administrative"
319,"Museum of Natural History","310 Science Drive",250,"Research"
320,"School of Architecture","150 Design Row",380,"Academic"
321,"Architecture Design Studio I","160 Design Row",90,"Academic"
322,"Urban Planning Institute","170 Design Row",140,"Academic"
323,"Environmental Design Lab","180 Design Row",70,"Research"
324,"School of Dentistry","30 Health Services Loop",400,"Medical"
325,"Dental Clinic","35 Health Services Loop",80,"Medical"
326,"Pharmacology Research Lab","320 Science Drive",110,"Research"
327,"Genetics Research Center","330 Science Drive",160,"Research"
328,"East Gate Security Post","4 Security Circle East",12,"Administrative"
329,"Faculty Lounge Annex","70 Faculty Row",30,"Dining"
330,"Graduate Dormitory North","240 Residence Way",450,"Residential"
331,"Graduate Dormitory South","250 Residence Way",480,"Residential"
332,"Field Hockey Stadium","210 Sports Complex",1500,"Athletic"
333,"Volleyball Courts","220 Sports Complex",10,"Athletic"
334,"Student Media Production Hub","50 Media Hub",100,"Media"
335,"University Conference Center","1 Meeting Place",950,"Event"
336,"IT Security Operations Center","300 Tech Way East",50,"Administrative"
337,"Northwest Library Branch","200 Library Road NW",550,"Library"
338,"Small Lecture Hall V","90 Academic Way",220,"Academic"
339,"Small Lecture Hall VI","95 Academic Way",200,"Academic"
340,"University Archives","200 Library Road Central",40,"Library"
341,"Biomedical Engineering Building","350 Science Drive",420,"Academic"
342,"Microscopy Center","360 Science Drive",55,"Research"
343,"Chemical Engineering Annex","310 Tech Way",170,"Academic"
344,"Aeronautics Lab","320 Tech Way",130,"Research"
345,"School of Journalism Annex","60 Media Hub",85,"Academic"
346,"Student Radio Station","70 Media Hub",25,"Media"
347,"East Campus Dining Hall","60 Campus Center",430,"Dining"
348,"West Campus Dining Hall","70 Campus Center",410,"Dining"
349,"Faculty Residence Quad A","80 Faculty Row",60,"Residential"
350,"Faculty Residence Quad B","90 Faculty Row",60,"Residential"
351,"Residence Hall T","260 Residence Way",670,"Residential"
352,"Residence Hall U","270 Residence Way",700,"Residential"
353,"Tennis Stadium","230 Sports Complex",2000,"Athletic"
354,"Golf Course Pro Shop","240 Sports Complex",20,"Retail"
355,"Equestrian Center","10 Arena Road",150,"Athletic"
356,"Animal Research Facility","370 Science Drive",90,"Research"
357,"Sponsored Programs Office","100 Main Street",45,"Administrative"
358,"IT Server Farm East","330 Tech Way",15,"Maintenance"
359,"Public Affairs Building","110 Main Street",200,"Academic"
360,"Global Health Institute","30 Health Avenue",270,"Academic"
361,"Public Relations Office","130 Main Street",40,"Administrative"
362,"Marketing Department Hall","140 Main Street",180,"Academic"
363,"School of Criminology","240 Social Sciences Ave",210,"Academic"
364,"Juvenile Justice Center","250 Social Sciences Ave",90,"Research"
365,"School of Public Administration","260 Social Sciences Ave",250,"Academic"
366,"North Campus Bookstore II","25 Retail Row",55,"Retail"
367,"Central Administration Annex","150 Main Street",100,"Administrative"
368,"University Hotel","1 Hospitality Way",300,"Residential"
369,"Conference Services Building","2 Meeting Place",150,"Administrative"
370,"Residence Hall V","280 Residence Way",650,"Residential"
371,"Residence Hall W","290 Residence Way",730,"Residential"
372,"West Parking Lot Kiosk","60 Parking Blvd",10,"Parking"
373,"East Parking Lot Kiosk","70 Parking Blvd",10,"Parking"
374,"Cross Country Clubhouse","250 Sports Complex",30,"Athletic"
375,"Wrestling Facility","260 Sports Complex",80,"Athletic"
376,"Wellness Center Annex","30 Health Services Loop East",90,"Medical"
377,"Medical Records Storage","40 Health Services Loop East",15,"Medical"
378,"Energy Plant East","8 Power Lane",30,"Maintenance"
379,"Geographic Information Systems Center","340 Tech Way",120,"Research"
380,"Center for Economic Development","1 Business Park",140,"Research"
381,"Business School Annex","2 Business Park",260,"Academic"
382,"Executive Education Center","3 Business Park",110,"Academic"
383,"Finance Research Lab","4 Business Park",70,"Research"
384,"Actuarial Science Center","5 Business Park",85,"Academic"
385,"Data Privacy Office","170 Main Street",25,"Administrative"
386,"Procurement Services","180 Main Street",35,"Administrative"
387,"Central Records Repository","190 Main Street",20,"Administrative"
388,"North Campus Maintenance","35 Facilities Yard North",30,"Maintenance"
389,"South Campus Maintenance","40 Facilities Yard South",30,"Maintenance"
390,"Athletic Media Relations","270 Sports Complex",45,"Administrative"
391,"Residence Hall X","300 Residence Way",750,"Residential"
392,"Residence Hall Y","310 Residence Way",680,"Residential"
393,"Residence Hall Z","320 Residence Way",590,"Residential"
394,"Field House Storage","280 Sports Complex",10,"Maintenance"
395,"Indoor Soccer Arena","290 Sports Complex",500,"Athletic"
396,"Center for Disability Studies","270 Social Sciences Ave",130,"Research"
397,"School of Journalism Research","80 Media Hub",60,"Research"
398,"Digital Humanities Lab","210 Humanities Loop",80,"Academic"
399,"Rare Books and Manuscripts","250 Library Road Central",50,"Library"
400,"University Auditorium","1 Arts Plaza",3500,"Event"
401,"Performing Arts Rehearsal Hall","2 Arts Plaza",150,"Academic"
402,"Art Conservation Lab","150 Arts Way West",40,"Research"
403,"Sculpture Studio","160 Arts Way West",75,"Academic"
404,"Ceramics Workshop","170 Arts Way West",60,"Academic"
405,"Film and Media Studies Center","90 Media Hub",130,"Academic"
406,"Digital Storytelling Lab","100 Media Hub",45,"Academic"
407,"Central Dining Pavilion","80 Campus Center",600,"Dining"
408,"Faculty Dining Room","90 Campus Center",80,"Dining"
409,"International House","330 Residence Way",300,"Residential"
410,"Family Housing Office","340 Residence Way",25,"Administrative"
411,"Faculty Residence Tower C","100 Faculty Row",90,"Residential"
412,"Faculty Residence Tower D","110 Faculty Row",90,"Residential"
413,"Soccer Training Facility","300 Sports Complex",120,"Athletic"
414,"Field House Maintenance","310 Sports Complex",15,"Maintenance"
415,"Ice Hockey Arena","320 Sports Complex",4000,"Athletic"
416,"Infectious Disease Research Center","380 Science Drive",210,"Research"
417,"Toxicology Lab","390 Science Drive",70,"Research"
418,"Undergraduate Research Center","400 Science Drive",160,"Academic"
419,"Patent and Licensing Office","2 Technology Transfer",40,"Administrative"
420,"South Gate Visitors Center","5 Visitor Lane South",65,"Administrative"
421,"North Gate Visitors Center","1 Visitor Lane North",70,"Administrative"
422,"South Campus Research Incubator","40 Research Park",150,"Research"
423,"Center for Aging Studies","280 Social Sciences Ave",90,"Research"
424,"Child Development Lab","290 Social Sciences Ave",60,"Academic"
425,"Early Childhood Center","350 Residence Way",70,"Academic"
426,"School of Pharmacy","50 Health Avenue",350,"Academic"
427,"Pharmacy Research Annex","60 Health Avenue",80,"Research"
428,"East Campus Housing Office","360 Residence Way",30,"Administrative"
429,"West Campus Housing Office","370 Residence Way",30,"Administrative"
430,"University Art Center","180 Arts Way",220,"Academic"
431,"Photography Studio","190 Arts Way",40,"Academic"
432,"Printmaking Workshop","200 Arts Way",50,"Academic"
433,"Faculty Dining Annex","100 Campus Center",55,"Dining"
434,"Staff Lounge and Breakroom","110 Campus Center",40,"Administrative"
435,"Residence Hall AA","380 Residence Way",610,"Residential"
436,"Residence Hall BB","390 Residence Way",690,"Residential"
437,"Intramural Sports Office","330 Sports Complex",20,"Administrative"
438,"Boathouse and Crew Center","1 River Road",100,"Athletic"
439,"Emergency Management Hub","20 Security Circle",45,"Administrative"
440,"Central Receiving Warehouse","50 Facilities Yard",80,"Maintenance"
